,dataset,alg,hyperparam,train_gmeans,train_recall,train_pf,dev_gmeans,dev_recall,dev_pf,test_gmeans,test_recall,test_pf
0,KC1,NN_SMOTE,"{'Dropout': 0.6, 'Hidden Layer': 1, 'Learning Rate': 0.001, 'Neurons': 21, 'Neighbors': 2, 'Sampling': 1.0}",72.3,75.3,30.57,73.96,81.79,33.13,71.44,73.62,30.68
14,KC1,RF_SMOTE,"{'Neighbors': 3, 'Sampling': 0.96, 'Max Depth': 7, 'N Estimator': 24, 'Max Leaf Nodes': 33, 'Max Features': 0.4, 'Min Samples Leaf': 15, 'Min Samples Split': 12}",87.36,90.27,15.45,74.22,67.35,18.21,70.22,60.43,18.4
21,KC1,DT_SMOTE,"{'Neighbors': 1, 'Sampling': 0.98, 'Max Depth': 4}",78.33,88.2,30.43,74.58,80.41,30.83,67.68,68.4,33.03
28,KC1,NB_SMOTE,"{'Neighbors': 7, 'Sampling': 1.0, 'Var Smoothing': 0.0}",59.58,39.57,10.28,63.01,44.67,11.12,60.71,41.1,10.32
35,KC1,LR_SMOTE,"{'Neighbors': 4, 'Sampling': 0.92, 'C': 9.55, 'Max Iter': 155}",71.64,67.79,24.29,73.31,73.54,26.91,71.03,67.18,24.9
42,KC1,KNN_SMOTE,"{'Neighbors': 4, 'Sampling': 0.98, 'n Neighbors': 8, 'leaf_size': 51, 'Leaf Size': 51.05616323457703}",88.26,92.87,16.13,72.22,67.35,22.56,68.21,59.51,21.82
1,KC2,NN_SMOTE,"{'Dropout': 0.1, 'Hidden Layer': 3, 'Learning Rate': 0.01, 'Neurons': 42, 'Neighbors': 5, 'Sampling': 1.0}",88.17,89.57,13.2,84.98,84.44,14.47,81.83,78.5,14.7
15,KC2,RF_SMOTE,"{'Neighbors': 8, 'Sampling': 0.59, 'Max Depth': 1, 'N Estimator': 37, 'Max Leaf Nodes': 17, 'Max Features': 0.05, 'Min Samples Leaf': 8, 'Min Samples Split': 6}",79.79,73.78,13.71,83.86,82.22,14.47,76.19,67.29,13.73
22,KC2,DT_SMOTE,"{'Neighbors': 3, 'Sampling': 0.62, 'Max Depth': 2}",79.36,76.31,17.47,82.56,82.22,17.11,77.51,72.9,17.59
29,KC2,NB_SMOTE,"{'Neighbors': 6, 'Sampling': 1.0, 'Var Smoothing': 0.0}",62.39,41.88,7.06,70.79,53.33,6.05,64.68,44.86,6.75
