,Dataset,Hidden Layer,Learning Rate,Neurons,Dropout,Neighbors,Sampling,G-Means
0,KC1,4.0,0.007587945476302646,8.0,0.29,12.0,0.37,0.36832460193933964
1,KC1,4.0,0.00641003510568888,2.0,0.13,14.0,0.98,0.0
2,KC1,1.0,0.002636424704863906,15.0,0.52,4.0,0.65,0.6941213544856626
3,KC1,2.0,0.006506676052501416,15.0,0.32,3.0,0.53,0.6676953059008128
4,KC1,4.0,0.002797064039425238,30.0,0.33,10.0,0.29,0.6134559244306176
5,KC1,1.0,0.0015854643368675156,48.0,0.4,19.0,0.86,0.736808647054059
6,KC1,1.0,0.007158097238609413,6.0,0.25,9.0,0.62,0.6736756702715286
7,KC1,4.0,0.0033290198344001526,16.0,0.12,13.0,0.64,0.6810819884317906
8,KC1,1.0,0.009726261649881027,47.0,0.37,15.0,0.92,0.7350819251239712
9,KC1,4.0,0.0017964325184672756,3.0,0.4,4.0,0.5,0.13108062627326908
10,KC1,2.0,0.008458637582367364,14.0,0.29,7.0,0.66,0.6993233868993323
11,KC1,4.0,0.0016709557931179377,38.0,0.17,19.0,0.4,0.6975360238307969
12,KC1,4.0,0.007361716094628555,38.0,0.1,14.0,0.31,0.6411427714321092
13,KC1,1.0,0.008767930832880343,17.0,0.28,12.0,0.3,0.600322340881688
14,KC1,2.0,0.007566455605042577,44.0,0.26,13.0,0.61,0.7170353902305578
15,KC1,5.0,0.001,45.0,0.6,19.0,0.25,0.4183649201574674
16,KC1,1.0,0.001,50.0,0.1,17.0,1.0,0.7279991514250536
17,KC1,1.0,0.0012577403821133776,35.0,0.1,20.0,1.0,0.7340584899947021
18,KC1,4.0,0.008595921064095543,33.0,0.34,19.0,0.81,0.7252759576165072
19,KC1,1.0,0.007009402462341064,10.0,0.16,7.0,0.59,0.6836422795631634
20,KC1,1.0,0.01,47.0,0.6,9.0,1.0,0.7184577443647467
21,KC1,5.0,0.001,19.0,0.1,7.0,1.0,0.7226282160107627
22,KC1,1.0,0.01,42.0,0.1,6.0,1.0,0.7344133647990891
23,KC1,4.0,0.001,45.0,0.1,3.0,0.25,0.6199424980477598
24,KC1,1.0,0.01,36.0,0.6,2.0,1.0,0.7278553844752577
25,KC1,1.0,0.01,38.0,0.6,7.0,1.0,0.7226947124803308
26,KC1,1.0,0.001,25.0,0.6,1.0,1.0,0.7384301086855286
27,KC1,1.0,0.001,30.0,0.6,1.0,0.25,0.5513337186028446
28,KC1,1.0,0.001,21.0,0.6,2.0,1.0,0.7395543529888927
29,KC1,4.0,0.00420216064921684,22.0,0.44,2.0,0.89,0.7053489827524855
30,KC1,1.0,0.006667441486146917,40.0,0.44,1.0,0.43,0.654325249444687
31,KC1,1.0,0.01,23.0,0.1,5.0,1.0,0.735372413941919
32,KC1,5.0,0.001,23.0,0.1,20.0,1.0,0.7320540082526885
33,KC1,1.0,0.001,27.0,0.6,20.0,1.0,0.7337529275330766
34,KC1,4.0,0.0013129881061012282,27.0,0.3,18.0,0.61,0.6753601628786654
35,KC1,5.0,0.001,19.0,0.6,20.0,1.0,0.7137394544583894
36,KC1,1.0,0.0024145113141795316,23.0,0.42,19.0,0.26,0.5771116193885082
37,KC1,1.0,0.009410736750700359,31.0,0.41,19.0,0.84,0.7277350678557937
38,KC1,4.0,0.01,38.0,0.1,5.0,1.0,0.734675047816408
39,KC1,1.0,0.01,43.0,0.6,9.0,1.0,0.7197853106058798
40,KC1,1.0,0.001,38.0,0.1,5.0,1.0,0.7371274299405189
41,KC1,1.0,0.004246379360915981,48.0,0.35,18.0,0.7,0.7329462133470642
42,KC1,4.0,0.004951576419916805,50.0,0.1,12.0,1.0,0.7374171129784799
43,KC1,1.0,0.005805047137663812,48.0,0.47,12.0,0.91,0.7307794187574653
44,KC1,5.0,0.01,41.0,0.6,7.0,1.0,0.720035996025664
45,KC1,1.0,0.004650158472646151,23.0,0.12,1.0,0.73,0.7290691763864549
46,KC1,1.0,0.001,20.0,0.6,5.0,1.0,0.7357208491256225
47,KC1,5.0,0.001,46.0,0.1,10.0,1.0,0.7341952243704796
48,KC1,3.0,0.001,36.0,0.1,20.0,1.0,0.7256101091926858
49,KC1,1.0,0.01,38.0,0.1,20.0,1.0,0.7383057298165285
50,KC2,4.0,0.007587945476302646,8.0,0.29,12.0,0.41,0.7571877794400365
51,KC2,4.0,0.00641003510568888,2.0,0.13,14.0,0.98,0.7803507983087175
52,KC2,1.0,0.002636424704863906,15.0,0.52,4.0,0.67,0.8321043569280919
53,KC2,2.0,0.006506676052501416,15.0,0.32,3.0,0.56,0.8149193624227258
54,KC2,4.0,0.002797064039425238,30.0,0.33,10.0,0.34,0.750789058608552
55,KC2,1.0,0.0015854643368675156,48.0,0.4,19.0,0.87,0.8083627232855687
56,KC2,1.0,0.007158097238609413,6.0,0.25,9.0,0.65,0.8334035058174233
57,KC2,4.0,0.0033290198344001526,16.0,0.12,13.0,0.67,0.8353309390761112
58,KC2,1.0,0.009726261649881027,47.0,0.37,15.0,0.93,0.8043376556692379
59,KC2,4.0,0.0017964325184672756,3.0,0.4,4.0,0.53,0.0
60,KC2,2.0,0.008458637582367364,14.0,0.29,7.0,0.68,0.77746025264604
61,KC2,4.0,0.0016709557931179377,38.0,0.17,19.0,0.44,0.7862487739277715
62,KC2,4.0,0.007361716094628555,38.0,0.1,14.0,0.36,0.7682287670977254
63,KC2,1.0,0.008767930832880343,17.0,0.28,12.0,0.35,0.7406729988517674
64,KC2,2.0,0.007566455605042577,44.0,0.26,13.0,0.63,0.7919551644229238
65,KC2,1.0,0.002726180792404387,8.0,0.26,12.0,0.92,0.8151525527228178
66,KC2,2.0,0.001,20.0,0.6,2.0,1.0,0.8163533233459711
67,KC2,5.0,0.001,16.0,0.1,18.0,1.0,0.8300285347029056
68,KC2,4.0,0.006544745719788823,22.0,0.55,17.0,0.33,0.542654295302752
69,KC2,4.0,0.0011167226015303215,12.0,0.41,17.0,0.9,0.8202481438832152
70,KC2,1.0,0.01,1.0,0.1,19.0,0.3,0.5656595798127334
71,KC2,5.0,0.001,18.0,0.6,5.0,1.0,0.7953078774179474
72,KC2,1.0,0.01,43.0,0.6,20.0,1.0,0.7974740825134706
73,KC2,1.0,0.01,9.0,0.6,9.0,0.3,0.6513144603920517
74,KC2,1.0,0.0036295320033962906,5.0,0.1,11.0,1.0,0.79888445614432
75,KC2,4.0,0.0050677468025258614,15.0,0.14,16.0,0.38,0.7979322693266319
76,KC2,5.0,0.001,13.0,0.1,20.0,1.0,0.809429081882095
77,KC2,1.0,0.01,19.0,0.1,5.0,0.3,0.7274886707584328
78,KC2,4.0,0.001,18.0,0.6,1.0,1.0,0.8206045410948547
79,KC2,5.0,0.001,23.0,0.6,1.0,1.0,0.739448190024828
80,KC2,1.0,0.001,10.0,0.1,16.0,1.0,0.8135906984236013
81,KC2,5.0,0.001,45.0,0.1,18.0,0.3,0.7626707459098366
82,KC2,1.0,0.0066673206745124555,18.0,0.38,1.0,0.37,0.7423291935381144
