iter,gmeans,drop,layer,lr,neighbors,neurons,sampling
  1        ,  0.7572   ,  0.2873   ,  4.803    ,  0.007588 ,  12.37    ,  8.645    ,  0.4134   
  2        ,  0.7804   ,  0.129    ,  4.465    ,  0.00641  ,  14.45    ,  2.009    ,  0.9791   
  3        ,  0.8321   ,  0.5162   ,  1.849    ,  0.002636 ,  4.485    ,  15.91    ,  0.6697   
  4        ,  0.8149   ,  0.316    ,  2.165    ,  0.006507 ,  3.65     ,  15.32    ,  0.5596   
  5        ,  0.7508   ,  0.328    ,  4.141    ,  0.002797 ,  10.77    ,  30.03    ,  0.3373   
  6        ,  0.8084   ,  0.4038   ,  1.682    ,  0.001585 ,  19.03    ,  48.32    ,  0.8668   
  7        ,  0.8334   ,  0.2523   ,  1.391    ,  0.007158 ,  9.363    ,  6.98     ,  0.6491   
  8        ,  0.8353   ,  0.1172   ,  4.637    ,  0.003329 ,  13.59    ,  16.27    ,  0.6664   
  9        ,  0.8043   ,  0.3734   ,  1.739    ,  0.009726 ,  15.73    ,  47.04    ,  0.9269   
  10       ,  0.0      ,  0.3989   ,  4.687    ,  0.001796 ,  4.724    ,  3.216    ,  0.5311   
  11       ,  0.7775   ,  0.2943   ,  2.085    ,  0.008459 ,  7.778    ,  14.77    ,  0.6822   
  12       ,  0.7862   ,  0.1705   ,  4.209    ,  0.001671 ,  19.75    ,  38.84    ,  0.4431   
  13       ,  0.7682   ,  0.1028   ,  4.262    ,  0.007362 ,  14.85    ,  38.79    ,  0.3565   
  14       ,  0.7407   ,  0.2792   ,  1.463    ,  0.008768 ,  12.84    ,  17.21    ,  0.3492   
  15       ,  0.792    ,  0.2555   ,  2.301    ,  0.007566 ,  13.11    ,  44.47    ,  0.6332   
  16       ,  0.8152   ,  0.2597   ,  1.082    ,  0.002726 ,  12.1     ,  8.415    ,  0.9193   
  17       ,  0.8164   ,  0.6      ,  2.151    ,  0.001    ,  2.876    ,  20.83    ,  1.0      
  18       ,  0.83     ,  0.1      ,  5.0      ,  0.001    ,  18.84    ,  16.45    ,  1.0      
  19       ,  0.5427   ,  0.5507   ,  4.915    ,  0.006545 ,  17.92    ,  22.21    ,  0.3317   
  20       ,  0.8202   ,  0.4113   ,  4.866    ,  0.001117 ,  17.31    ,  12.93    ,  0.9027   
  21       ,  0.5657   ,  0.1      ,  1.0      ,  0.01     ,  19.82    ,  1.649    ,  0.305    
  22       ,  0.7953   ,  0.6      ,  5.0      ,  0.001    ,  5.552    ,  18.7     ,  1.0      
  23       ,  0.7975   ,  0.6      ,  1.0      ,  0.01     ,  20.0     ,  43.37    ,  1.0      
