iter,gmeans,drop,layer,lr,neighbors,neurons,sampling
  1        ,  0.6114   ,  0.2873   ,  4.803    ,  0.007588 ,  12.37    ,  8.645    ,  0.3454   
  2        ,  0.7411   ,  0.129    ,  4.465    ,  0.00641  ,  14.45    ,  2.009    ,  0.9767   
  3        ,  0.7425   ,  0.5162   ,  1.849    ,  0.002636 ,  4.485    ,  15.91    ,  0.6314   
  4        ,  0.7231   ,  0.316    ,  2.165    ,  0.006507 ,  3.65     ,  15.32    ,  0.5086   
  5        ,  0.6868   ,  0.328    ,  4.141    ,  0.002797 ,  10.77    ,  30.03    ,  0.2604   
  6        ,  0.7287   ,  0.4038   ,  1.682    ,  0.001585 ,  19.03    ,  48.32    ,  0.8514   
  7        ,  0.7177   ,  0.2523   ,  1.391    ,  0.007158 ,  9.363    ,  6.98     ,  0.6085   
  8        ,  0.7491   ,  0.1172   ,  4.637    ,  0.003329 ,  13.59    ,  16.27    ,  0.6278   
  9        ,  0.7463   ,  0.3734   ,  1.739    ,  0.009726 ,  15.73    ,  47.04    ,  0.9184   
  10       ,  0.0      ,  0.3989   ,  4.687    ,  0.001796 ,  4.724    ,  3.216    ,  0.4767   
  11       ,  0.7522   ,  0.2943   ,  2.085    ,  0.008459 ,  7.778    ,  14.77    ,  0.6453   
  12       ,  0.7115   ,  0.1705   ,  4.209    ,  0.001671 ,  19.75    ,  38.84    ,  0.3785   
  13       ,  0.6638   ,  0.1028   ,  4.262    ,  0.007362 ,  14.85    ,  38.79    ,  0.2818   
  14       ,  0.5729   ,  0.2792   ,  1.463    ,  0.008768 ,  12.84    ,  17.21    ,  0.2737   
  15       ,  0.7644   ,  0.2555   ,  2.301    ,  0.007566 ,  13.11    ,  44.47    ,  0.5906   
  16       ,  0.7208   ,  0.1      ,  1.0      ,  0.01     ,  16.79    ,  2.706    ,  1.0      
  17       ,  0.7316   ,  0.1      ,  5.0      ,  0.001    ,  7.375    ,  17.29    ,  1.0      
  18       ,  0.3924   ,  0.4533   ,  1.0      ,  0.001    ,  9.914    ,  47.68    ,  0.2244   
  19       ,  0.7306   ,  0.1568   ,  2.69     ,  0.01     ,  15.95    ,  43.84    ,  0.9402   
  20       ,  0.0      ,  0.6      ,  5.0      ,  0.002137 ,  14.23    ,  45.16    ,  0.2244   
