,dataset,alg,hyperparam,train_gmeans,train_recall,train_pf,dev_gmeans,dev_recall,dev_pf,test_gmeans,test_recall,test_pf
0,KC1,NN_SMOTE,"{'drop': 0.6, 'layer': 1.0, 'lr': 0.001, 'neighbors': 2.157649934245167, 'neurons': 21.73086339263426, 'sampling': 1.0}",0.723049805,0.753012883,0.305721014,0.739554353,0.817869416,0.331261653,0.714381805,0.736196319,0.306786315
1,KC2,NN_SMOTE,"{'drop': 0.1, 'layer': 3.2265022051657994, 'lr': 0.01, 'neighbors': 5.733345876688639, 'neurons': 42.57134718736757, 'sampling': 1.0}",0.881709254,0.895678092,0.132041729,0.849836586,0.844444444,0.144736842,0.818324091,0.785046729,0.146987952
2,PC1,NN_SMOTE,"{'drop': 0.11403851329243483, 'layer': 3.8571426364007633, 'lr': 0.0076358619440563035, 'neighbors': 10.938215565456973, 'neurons': 15.894041093227774, 'sampling': 0.8632758523039238}",0.908743865,0.972934974,0.151212121,0.852913952,0.887096774,0.179951691,0.789510156,0.753246753,0.17248062
3,PC3,NN_SMOTE,"{'drop': 0.20427473182450662, 'layer': 3.269045972566642, 'lr': 0.008580470306324755, 'neighbors': 8.103772360675176, 'neurons': 12.20722494075932, 'sampling': 0.7692123067106598}",0.859335842,0.938271605,0.212959142,0.774835117,0.8125,0.261083744,0.805748093,0.843283582,0.230116649
4,PC4,NN_SMOTE,"{'drop': 0.1967600773234771, 'layer': 1.6156607982518576, 'lr': 0.005850887921884078, 'neighbors': 8.499611153441402, 'neurons': 8.904851029113962, 'sampling': 1.0}",0.909048066,0.967330193,0.145722535,0.872677492,0.896103896,0.150136488,0.878434272,0.904494382,0.146875
5,CM1,NN_SMOTE,"{'drop': 0.6, 'layer': 3.6957067862699153, 'lr': 0.01, 'neighbors': 9.391645284517152, 'neurons': 42.226732875425675, 'sampling': 1.0}",0.822853142,0.926880223,0.269498607,0.785015923,0.85,0.275,0.760186045,0.795918367,0.273942094
6,JM1,NN_SMOTE,"{'drop': 0.1, 'layer': 1.0, 'lr': 0.01, 'neighbors': 8.534420802375887, 'neurons': 50.0, 'sampling': 1.0}",0.691124503,0.700420576,0.31804819,0.656421009,0.642631579,0.329493671,0.665288877,0.650499287,0.31958528
7,KC1,NN,"{'drop': 0.13149225292782904, 'layer': 4.098437320425177, 'lr': 0.004232739613092315, 'neurons': 42.2685655979525}",0.585580253,0.351872872,0.025488295,0.612731343,0.391752577,0.041640771,0.564823235,0.331288344,0.037016265
8,KC2,NN,"{'drop': 0.2026318947438108, 'layer': 4.060192033567395, 'lr': 0.0015069629511537414, 'neurons': 48.58758731709495}",0.738159133,0.586483391,0.070938897,0.7670289,0.633333333,0.071052632,0.715614766,0.560747664,0.086746988
9,PC1,NN,"{'drop': 0.1, 'layer': 2.589449262666062, 'lr': 0.006196773344449673, 'neurons': 45.11311881732735}",0.454630443,0.207317073,0.003030303,0.438877398,0.193548387,0.004830918,0.359150704,0.12987013,0.006782946
10,PC3,NN,"{'drop': 0.13070920517387022, 'layer': 3.0639452518879673, 'lr': 0.004843527102516748, 'neurons': 47.69331838808714}",0.57359636,0.330924855,0.005777961,0.537435658,0.294642857,0.019704433,0.461741182,0.21641791,0.014846235
