,hyperparam_clf,smote
0,"{'drop': 0.6, 'layer': 1.0, 'lr': 0.001, 'neurons': 21.73086}","{'neighbors': 2.15765, 'sampling': 1.0}"
1,"{'drop': 0.1, 'layer': 3.2265, 'lr': 0.01, 'neurons': 42.57135}","{'neighbors': 5.73335, 'sampling': 1.0}"
2,"{'drop': 0.11404, 'layer': 3.85714, 'lr': 0.00764, 'neurons': 15.89404}","{'neighbors': 10.93822, 'sampling': 0.86328}"
3,"{'drop': 0.20427, 'layer': 3.26905, 'lr': 0.00858, 'neurons': 12.20722}","{'neighbors': 8.10377, 'sampling': 0.76921}"
4,"{'drop': 0.19676, 'layer': 1.61566, 'lr': 0.00585, 'neurons': 8.90485}","{'neighbors': 8.49961, 'sampling': 1.0}"
5,"{'drop': 0.6, 'layer': 3.69571, 'lr': 0.01, 'neurons': 42.22673}","{'neighbors': 9.39165, 'sampling': 1.0}"
6,"{'drop': 0.1, 'layer': 1.0, 'lr': 0.01, 'neurons': 50.0}","{'neighbors': 8.53442, 'sampling': 1.0}"
7,"{'depth': 7.04304, 'estimator': 24.04213, 'max_features': 0.39988, 'max_leaf_nodes': 33.82063, 'min_leaf': 15.7818, 'min_split': 12.32815}","{'neighbors': 3.20646, 'sampling': 0.96302}"
8,"{'depth': 1.79643, 'estimator': 37.4376, 'max_features': 0.05478, 'max_leaf_nodes': 17.61586, 'min_leaf': 8.38487, 'min_split': 6.88428}","{'neighbors': 8.45864, 'sampling': 0.58511}"
9,"{'depth': 6.36865, 'estimator': 36.82046, 'max_features': 1.0, 'max_leaf_nodes': 39.39939, 'min_leaf': 20.0, 'min_split': 19.91449}","{'neighbors': 5.69243, 'sampling': 1.0}"
10,"{'depth': 3.46896, 'estimator': 143.19288, 'max_features': 0.81377, 'max_leaf_nodes': 34.06549, 'min_leaf': 4.79461, 'min_split': 4.44355}","{'neighbors': 3.36666, 'sampling': 0.80558}"
11,"{'depth': 5.75142, 'estimator': 142.19412, 'max_features': 0.91448, 'max_leaf_nodes': 23.58334, 'min_leaf': 15.2818, 'min_split': 14.11591}","{'neighbors': 1.0, 'sampling': 1.0}"
12,"{'depth': 1.31873, 'estimator': 77.52084, 'max_features': 0.39663, 'max_leaf_nodes': 45.94227, 'min_leaf': 1.80325, 'min_split': 13.82627}","{'neighbors': 2.04943, 'sampling': 0.80422}"
13,"{'depth': 8.48132, 'estimator': 104.08636, 'max_features': 0.85267, 'max_leaf_nodes': 5.41918, 'min_leaf': 2.2403, 'min_split': 8.98418}","{'neighbors': 8.45139, 'sampling': 0.97098}"
14,{'depth': 4.46324},"{'neighbors': 1.29933, 'sampling': 0.97727}"
15,{'depth': 2.01219},"{'neighbors': 3.18999, 'sampling': 0.6238}"
16,{'depth': 4.07492},"{'neighbors': 1.54465, 'sampling': 1.0}"
17,{'depth': 3.8156},"{'neighbors': 1.8824, 'sampling': 0.65666}"
18,{'depth': 4.96137},"{'neighbors': 2.09834, 'sampling': 0.63254}"
19,{'depth': 3.74152},"{'neighbors': 1.87905, 'sampling': 0.76267}"
20,{'depth': 1.0},"{'neighbors': 9.44879, 'sampling': 0.96379}"
21,{'var_smoothing': 0.0},"{'neighbors': 7.0075, 'sampling': 1.0}"
22,{'var_smoothing': 0.0},"{'neighbors': 6.81265, 'sampling': 1.0}"
23,{'var_smoothing': 0.16161},"{'neighbors': 8.26205, 'sampling': 0.32005}"
24,{'var_smoothing': 0.39367},"{'neighbors': 9.11031, 'sampling': 0.81573}"
25,{'var_smoothing': 0.04645},"{'neighbors': 5.62811, 'sampling': 0.70332}"
26,{'var_smoothing': 0.2213},"{'neighbors': 9.48692, 'sampling': 0.52492}"
27,{'var_smoothing': 0.0},"{'neighbors': 5.73793, 'sampling': 1.0}"
28,"{'c': 9.55073, 'max_iter': 155.08349}","{'neighbors': 4.48185, 'sampling': 0.91864}"
29,"{'c': 3.32902, 'max_iter': 149.37834}","{'neighbors': 3.8054, 'sampling': 0.69044}"
30,"{'c': 10.0, 'max_iter': 183.96951}","{'neighbors': 5.85533, 'sampling': 1.0}"
31,"{'c': 2.7421, 'max_iter': 143.18406}","{'neighbors': 3.23423, 'sampling': 0.83148}"
32,"{'c': 9.44482, 'max_iter': 155.94892}","{'neighbors': 5.05121, 'sampling': 0.99888}"
33,"{'c': 9.92477, 'max_iter': 184.44839}","{'neighbors': 6.13123, 'sampling': 0.8283}"
34,"{'c': 9.44482, 'max_iter': 155.94892}","{'neighbors': 5.05121, 'sampling': 0.99899}"
35,"{'leaf': 51.05616, 'n': 8.56}","{'neighbors': 4.77534, 'sampling': 0.98355}"
36,"{'leaf': 51.05616, 'n': 8.56}","{'neighbors': 4.77534, 'sampling': 0.98355}"
37,"{'leaf': 16.68235, 'n': 10.0}","{'neighbors': 9.52402, 'sampling': 1.0}"
38,"{'leaf': 15.08707, 'n': 9.6888}","{'neighbors': 8.53668, 'sampling': 0.85008}"
39,"{'leaf': 23.23914, 'n': 8.41115}","{'neighbors': 9.1226, 'sampling': 0.83409}"
40,"{'leaf': 95.30815, 'n': 9.5829}","{'neighbors': 6.62597, 'sampling': 1.0}"
41,"{'leaf': 15.21544, 'n': 10.0}","{'neighbors': 10.0, 'sampling': 1.0}"
