   iter    ,gmeans,drop,layer,lr,neighbors,neurons,sampling
1,  0.3683   ,  0.2873   ,  4.803    ,  0.007588 ,  12.37    ,  8.645    ,  0.3709   
  2        ,  0.0      ,  0.129    ,  4.465    ,  0.00641  ,  14.45    ,2.009,  0.9776   
  3        ,  0.6941   ,  0.5162   ,  1.849    ,  0.002636 ,  4.485    ,  15.91    ,  0.6458   
  4        ,  0.6677   ,  0.316    ,  2.165    ,  0.006507 ,  3.65     ,  15.32    ,  0.5277   
  5        ,  0.6135   ,  0.328    ,  4.141    ,  0.002797 ,  10.77    ,  30.03    ,  0.2892   
  6        ,  0.7368   ,  0.4038   ,  1.682    ,  0.001585 ,  19.03    ,  48.32    ,  0.8572   
  7        ,  0.6737   ,  0.2523   ,  1.391    ,  0.007158 ,  9.363    ,  6.98     ,  0.6237   
  8        ,  0.6811   ,  0.1172   ,  4.637    ,  0.003329 ,  13.59    ,  16.27    ,  0.6423   
  9        ,  0.7351   ,  0.3734   ,  1.739    ,  0.009726 ,  15.73    ,  47.04    ,  0.9216   
  10       ,  0.1311   ,  0.3989   ,  4.687    ,  0.001796 ,  4.724    ,  3.216    ,  0.4971   
  11       ,  0.6993   ,  0.2943   ,  2.085    ,  0.008459 ,  7.778    ,  14.77    ,  0.6591   
  12       ,  0.6975   ,  0.1705   ,  4.209    ,  0.001671 ,  19.75    ,  38.84    ,  0.4027   
  13       ,  0.6411   ,  0.1028   ,  4.262    ,  0.007362 ,  14.85    ,  38.79    ,  0.3098   
  14       ,  0.6003   ,  0.2792   ,  1.463    ,  0.008768 ,  12.84    ,  17.21    ,  0.302    
  15       ,  0.717    ,  0.2555   ,  2.301    ,  0.007566 ,  13.11    ,  44.47    ,  0.6066   
  16       ,  0.4184   ,  0.6      ,  5.0      ,  0.001    ,  19.7     ,  45.01    ,  0.2546   
  17       ,  0.728    ,  0.1      ,  1.0      ,  0.001    ,  17.01    ,  50.0     ,  1.0      
  18       ,  0.7341   ,  0.1      ,  1.0      ,  0.001258 ,  20.0     ,  35.56    ,  1.0      
  19       ,  0.7253   ,  0.3439   ,  4.852    ,  0.008596 ,  19.91    ,  33.52    ,  0.8084   
  20       ,  0.6836   ,  0.1641   ,  1.051    ,  0.007009 ,  7.401    ,  10.15    ,  0.5903   
  21       ,  0.7185   ,  0.6      ,  1.0      ,  0.01     ,  9.751    ,  47.77    ,  1.0      
  22       ,  0.7226   ,  0.1      ,  5.0      ,  0.001    ,  7.195    ,  19.93    ,  1.0      
  23       ,  0.7344   ,  0.1      ,  1.0      ,  0.01     ,  6.281    ,  42.29    ,  1.0      
  24       ,  0.6199   ,  0.1      ,  4.884    ,  0.001    ,  3.349    ,  45.65    ,  0.2546   
  25       ,  0.7279   ,  0.6      ,  1.0      ,  0.01     ,  2.773    ,  36.89    ,  1.0      
  26       ,  0.7227   ,  0.6      ,  1.0      ,  0.01     ,  7.879    ,  38.12    ,  1.0      
  27       ,  0.7384   ,  0.6      ,  1.067    ,  0.001    ,  1.0      ,  25.29    ,  1.0      
  28       ,  0.5513   ,  0.6      ,  1.0      ,  0.001    ,  1.0      ,  30.77    ,  0.2546   
  29       ,  0.7396   ,  0.6      ,  1.0      ,  0.001    ,  2.158    ,  21.73    ,  1.0      
  30       ,  0.7053   ,  0.4401   ,  4.973    ,  0.004202 ,  2.03     ,  22.8     ,  0.8916   
  31       ,  0.6543   ,  0.4389   ,  1.044    ,  0.006667 ,  1.208    ,  40.36    ,  0.4323   
  32       ,  0.7354   ,  0.1      ,  1.0      ,  0.01     ,  5.084    ,  23.8     ,  1.0      
  33       ,  0.7321   ,  0.1      ,  5.0      ,  0.001    ,  20.0     ,  23.79    ,  1.0      
  34       ,  0.7338   ,  0.6      ,  1.0      ,  0.001    ,  20.0     ,  27.99    ,  1.0      
  35       ,  0.6754   ,  0.2993   ,  4.907    ,  0.001313 ,  18.82    ,  27.27    ,  0.6099   
  36       ,  0.7137   ,  0.6      ,  5.0      ,  0.001    ,  20.0     ,  19.05    ,  1.0      
  37       ,  0.5771   ,  0.4195   ,  1.146    ,  0.002415 ,  19.96    ,  23.12    ,  0.2552   
  38       ,  0.7277   ,  0.4139   ,  1.293    ,  0.009411 ,  19.48    ,  31.58    ,  0.843    
  39       ,  0.7347   ,  0.1      ,  4.92     ,  0.01     ,  5.102    ,  38.09    ,  1.0      
  40       ,  0.7198   ,  0.6      ,  1.0      ,  0.01     ,  9.974    ,  43.28    ,  1.0      
  41       ,  0.7371   ,  0.1      ,  1.568    ,  0.001    ,  5.045    ,  38.54    ,  1.0      
  42       ,  0.7329   ,  0.3463   ,  1.037    ,  0.004246 ,  18.34    ,  48.82    ,  0.7014   
  43       ,  0.7374   ,  0.1      ,  4.24     ,  0.004952 ,  12.54    ,  50.0     ,  1.0      
  44       ,  0.7308   ,  0.4681   ,  1.15     ,  0.005805 ,  12.77    ,  48.36    ,  0.9087   
  45       ,  0.72     ,  0.6      ,  5.0      ,  0.01     ,  7.952    ,  41.48    ,  1.0      
  46       ,  0.7291   ,  0.1223   ,  1.004    ,  0.00465  ,  1.344    ,  23.58    ,  0.7294   
  47       ,  0.7357   ,  0.6      ,  1.0      ,  0.001    ,  5.537    ,  20.37    ,  1.0      
  48       ,  0.7342   ,  0.1      ,  5.0      ,  0.001    ,  10.22    ,  46.96    ,  1.0      
  49       ,  0.7256   ,  0.1      ,  3.721    ,  0.001    ,  20.0     ,  36.19    ,  1.0      
  50       ,  0.7383   ,  0.1      ,  1.0      ,  0.01     ,  20.0     ,  38.97    ,  1.0      
