iter,gmeans,drop,layer,lr,neurons
  1        ,  0.4075   ,  0.2873   ,  4.803    ,  0.007588 ,  30.33    
  2        ,  0.5134   ,  0.178    ,  1.624    ,  0.001523 ,  43.44    
  3        ,  0.533    ,  0.4006   ,  3.832    ,  0.001185 ,  48.53    
  4        ,  0.3854   ,  0.5162   ,  1.849    ,  0.002636 ,  9.987    
  5        ,  0.4031   ,  0.2521   ,  3.099    ,  0.004888 ,  15.27    
  6        ,  0.4643   ,  0.4059   ,  1.558    ,  0.003629 ,  18.95    
  7        ,  0.4859   ,  0.328    ,  4.141    ,  0.002797 ,  26.2     
  8        ,  0.4541   ,  0.3962   ,  1.186    ,  0.006468 ,  9.356    
  9        ,  0.5313   ,  0.1325   ,  4.796    ,  0.009691 ,  40.61    
  10       ,  0.5358   ,  0.2523   ,  1.391    ,  0.007158 ,  22.57    
  11       ,  0.5598   ,  0.161    ,  2.981    ,  0.001309 ,  45.56    
  12       ,  0.5053   ,  0.2294   ,  3.65     ,  0.003805 ,  26.48    
  13       ,  0.5351   ,  0.3734   ,  1.739    ,  0.009726 ,  38.98    
  14       ,  0.1435   ,  0.5697   ,  4.579    ,  0.006381 ,  46.17    
  15       ,  0.4907   ,  0.1442   ,  1.784    ,  0.001407 ,  16.94    
  16       ,  0.5648   ,  0.1      ,  2.601    ,  0.001    ,  45.35    
  17       ,  0.5648   ,  0.1      ,  2.486    ,  0.001    ,  45.93    
  18       ,  0.524    ,  0.5107   ,  2.58     ,  0.001519 ,  45.68    
  19       ,  0.5732   ,  0.2311   ,  3.291    ,  0.001    ,  49.4     
  20       ,  0.5628   ,  0.1362   ,  2.696    ,  0.002222 ,  48.88    
  21       ,  0.3814   ,  0.5862   ,  2.347    ,  0.004539 ,  49.85    
  22       ,  0.5641   ,  0.1      ,  3.292    ,  0.001    ,  48.95    
  23       ,  0.5815   ,  0.1      ,  3.971    ,  0.001    ,  49.59    
  24       ,  0.5533   ,  0.1403   ,  2.301    ,  0.009136 ,  47.91    
  25       ,  0.3941   ,  0.518    ,  3.776    ,  0.002502 ,  49.53    
  26       ,  0.5634   ,  0.1345   ,  3.083    ,  0.00959  ,  49.39    
  27       ,  0.1311   ,  0.2031   ,  4.88     ,  0.001129 ,  4.404    
  28       ,  0.5295   ,  0.3242   ,  1.352    ,  0.001465 ,  42.01    
  29       ,  0.5264   ,  0.2606   ,  2.887    ,  0.001    ,  48.25    
  30       ,  0.6044   ,  0.1168   ,  3.499    ,  0.005582 ,  49.42    
  31       ,  0.6015   ,  0.1      ,  4.503    ,  0.001    ,  49.0     
  32       ,  0.5745   ,  0.1002   ,  4.882    ,  0.0033   ,  49.45    
  33       ,  0.5408   ,  0.1692   ,  4.994    ,  0.005986 ,  48.33    
  34       ,  0.5047   ,  0.1      ,  1.78     ,  0.001    ,  46.88    
  35       ,  0.5135   ,  0.1      ,  1.696    ,  0.001    ,  48.48    
  36       ,  0.5169   ,  0.3447   ,  1.641    ,  0.005558 ,  40.35    
  37       ,  0.4944   ,  0.2821   ,  2.951    ,  0.01     ,  39.5     
  38       ,  0.5654   ,  0.1177   ,  2.834    ,  0.005324 ,  44.35    
  39       ,  0.5273   ,  0.1      ,  3.173    ,  0.009859 ,  43.42    
  40       ,  0.536    ,  0.2412   ,  2.041    ,  0.007571 ,  44.57    
  41       ,  0.5451   ,  0.1414   ,  2.691    ,  0.001659 ,  41.83    
  42       ,  0.5774   ,  0.2226   ,  3.924    ,  0.006011 ,  41.75    
  43       ,  0.4228   ,  0.409    ,  3.454    ,  0.006177 ,  41.08    
  44       ,  0.6127   ,  0.1315   ,  4.098    ,  0.004233 ,  42.27    
  45       ,  0.5533   ,  0.1      ,  4.581    ,  0.008453 ,  42.01    
  46       ,  0.5805   ,  0.1      ,  3.633    ,  0.001    ,  42.33    
  47       ,  0.3401   ,  0.5713   ,  4.176    ,  0.001294 ,  42.68    
  48       ,  0.5259   ,  0.4003   ,  1.695    ,  0.006163 ,  39.47    
  49       ,  0.5035   ,  0.4992   ,  1.031    ,  0.001606 ,  45.09    
  50       ,  0.5386   ,  0.1883   ,  4.025    ,  0.007444 ,  42.12    
