iter,gmeans,drop,layer,lr,neighbors,neurons,sampling
  1        ,  0.8419   ,  0.2873   ,  4.803    ,  0.007588 ,  12.37    ,  8.645    ,  0.3434   
  2        ,  0.832    ,  0.129    ,  4.465    ,  0.00641  ,  14.45    ,  2.009    ,  0.9766   
  3        ,  0.7968   ,  0.5162   ,  1.849    ,  0.002636 ,  4.485    ,  15.91    ,  0.6303   
  4        ,  0.8175   ,  0.316    ,  2.165    ,  0.006507 ,  3.65     ,  15.32    ,  0.5071   
  5        ,  0.76     ,  0.328    ,  4.141    ,  0.002797 ,  10.77    ,  30.03    ,  0.2582   
  6        ,  0.8301   ,  0.4038   ,  1.682    ,  0.001585 ,  19.03    ,  48.32    ,  0.851    
  7        ,  0.8185   ,  0.2523   ,  1.391    ,  0.007158 ,  9.363    ,  6.98     ,  0.6073   
  8        ,  0.805    ,  0.1172   ,  4.637    ,  0.003329 ,  13.59    ,  16.27    ,  0.6267   
  9        ,  0.8275   ,  0.3734   ,  1.739    ,  0.009726 ,  15.73    ,  47.04    ,  0.9182   
  10       ,  0.4404   ,  0.3989   ,  4.687    ,  0.001796 ,  4.724    ,  3.216    ,  0.4752   
  11       ,  0.8396   ,  0.2943   ,  2.085    ,  0.008459 ,  7.778    ,  14.77    ,  0.6443   
  12       ,  0.8236   ,  0.1705   ,  4.209    ,  0.001671 ,  19.75    ,  38.84    ,  0.3767   
  13       ,  0.8155   ,  0.1028   ,  4.262    ,  0.007362 ,  14.85    ,  38.79    ,  0.2797   
  14       ,  0.7445   ,  0.2792   ,  1.463    ,  0.008768 ,  12.84    ,  17.21    ,  0.2715   
  15       ,  0.8433   ,  0.2555   ,  2.301    ,  0.007566 ,  13.11    ,  44.47    ,  0.5894   
  16       ,  0.8482   ,  0.1      ,  1.275    ,  0.01     ,  10.5     ,  10.67    ,  1.0      
  17       ,  0.8369   ,  0.1      ,  1.0      ,  0.01     ,  14.56    ,  6.447    ,  0.7412   
  18       ,  0.7945   ,  0.3322   ,  4.94     ,  0.007464 ,  8.735    ,  12.72    ,  0.2774   
  19       ,  0.6437   ,  0.6      ,  5.0      ,  0.001    ,  17.23    ,  6.821    ,  1.0      
  20       ,  0.7014   ,  0.1      ,  1.223    ,  0.01     ,  12.11    ,  8.092    ,  0.2221   
  21       ,  0.8551   ,  0.1549   ,  1.606    ,  0.00942  ,  9.676    ,  11.71    ,  0.9927   
  22       ,  0.8631   ,  0.2032   ,  1.399    ,  0.008152 ,  8.504    ,  10.2     ,  1.0      
  23       ,  0.8356   ,  0.1      ,  1.0      ,  0.01     ,  7.103    ,  12.15    ,  1.0      
  24       ,  0.8025   ,  0.6      ,  3.373    ,  0.005453 ,  9.384    ,  9.762    ,  1.0      
  25       ,  0.864    ,  0.1      ,  1.0      ,  0.01     ,  14.65    ,  3.822    ,  1.0      
  26       ,  0.0      ,  0.3375   ,  1.255    ,  0.003857 ,  13.54    ,  1.525    ,  0.2371   
  27       ,  0.8343   ,  0.1901   ,  1.1      ,  0.009644 ,  15.41    ,  4.553    ,  0.634    
  28       ,  0.716    ,  0.1      ,  1.0      ,  0.01     ,  8.847    ,  11.14    ,  0.2221   
  29       ,  0.8319   ,  0.1874   ,  1.178    ,  0.002613 ,  14.27    ,  4.877    ,  0.7637   
  30       ,  0.8727   ,  0.1968   ,  1.616    ,  0.005851 ,  8.5      ,  8.905    ,  1.0      
  31       ,  0.8599   ,  0.1313   ,  2.595    ,  0.008079 ,  10.79    ,  11.83    ,  1.0      
  32       ,  0.8446   ,  0.2985   ,  1.948    ,  0.005755 ,  7.152    ,  9.681    ,  1.0      
  33       ,  0.8641   ,  0.4488   ,  2.391    ,  0.005274 ,  9.622    ,  13.42    ,  1.0      
  34       ,  0.8509   ,  0.6      ,  1.274    ,  0.001752 ,  11.02    ,  12.82    ,  1.0      
  35       ,  0.8568   ,  0.6      ,  2.791    ,  0.001    ,  7.387    ,  12.83    ,  1.0      
  36       ,  0.8413   ,  0.1      ,  2.184    ,  0.01     ,  5.369    ,  13.0     ,  1.0      
  37       ,  0.8317   ,  0.2621   ,  2.551    ,  0.004236 ,  15.48    ,  44.37    ,  0.5618   
  38       ,  0.8114   ,  0.393    ,  3.735    ,  0.001    ,  13.96    ,  46.15    ,  0.5209   
  39       ,  0.8133   ,  0.1207   ,  3.067    ,  0.009822 ,  14.13    ,  42.26    ,  0.3896   
  40       ,  0.8537   ,  0.1191   ,  4.875    ,  0.006882 ,  16.56    ,  2.314    ,  0.9873   
  41       ,  0.8334   ,  0.1      ,  5.0      ,  0.006859 ,  12.79    ,  11.01    ,  1.0      
  42       ,  0.7847   ,  0.6      ,  3.657    ,  0.01     ,  11.73    ,  13.66    ,  1.0      
  43       ,  0.7364   ,  0.1      ,  1.783    ,  0.00948  ,  18.18    ,  45.72    ,  0.2223   
  44       ,  0.8369   ,  0.1      ,  4.102    ,  0.001    ,  6.125    ,  14.33    ,  1.0      
  45       ,  0.8306   ,  0.1      ,  1.0      ,  0.01     ,  13.67    ,  46.02    ,  1.0      
  46       ,  0.8294   ,  0.6      ,  1.554    ,  0.001    ,  16.95    ,  49.95    ,  1.0      
  47       ,  0.6632   ,  0.3769   ,  4.97     ,  0.006923 ,  14.82    ,  3.611    ,  0.5643   
  48       ,  0.0      ,  0.1593   ,  4.689    ,  0.002557 ,  16.43    ,  1.249    ,  0.4661   
  49       ,  0.7939   ,  0.5149   ,  1.256    ,  0.006511 ,  6.133    ,  28.47    ,  0.5247   
  50       ,  0.7385   ,  0.1909   ,  1.142    ,  0.006468 ,  9.283    ,  1.279    ,  0.4367   
